id,name,atk,def,guardian_star_1,guardian_star_2,type,color,level,attribute,starchip_cost,password,description
25,"Horn Imp",1300,1000,Moon,Mercury,Fiend,,4,Dark,80,69669405,"A small imp that\ndwells in the dark.\nIts single horn\nmakes it a formidable\nopponent."
26,"Battle Ox",1700,1000,Jupiter,Moon,Beast-Warrior,,4,Earth,999999,5053103,"A monster with\ntremendous power.\nDestroys enemies\nwith a swing of its\naxe."
27,"Beaver Warrior",1200,1500,Jupiter,Venus,Beast-Warrior,,4,Earth,140,32452818,"What this creature\nlacks in size,\nit makes up for in\ndefense when battling\nin the meadow."
28,"Rock Ogre Grotto #1",800,1200,Uranus,Mercury,Rock,,3,Earth,999999,68846917,"Protected by a solid\nbody of rock,\nthis creature throws\na bone-shattering\npunch."
29,"Mountain Warrior",600,1000,Uranus,Mars,Beast-Warrior,,3,Earth,35,4931562,"A solid warrior that\ncan move swiftly\nover rough terrain."
30,"Zombie Warrior",1200,900,Moon,Mars,Zombie,,3,Dark,60,31339260,"A deceptively\nfragile-looking\nskeleton warrior\nthat is known for its\nswift and precise\nattacks."
31,"Koumori Dragon",1500,1200,Moon,Jupiter,Dragon,,4,Dark,140,67724379,"A vicious,\nfire-breathing\ndragon whose wicked\nflames corrupt the\nsouls of its victims."
32,"Two-headed King Rex",1600,1200,Uranus,Neptune,Dinosaur,,4,Earth,160,94119974,"An unusual and\nrarely seen\ntwo-headed dragon."
33,"Judge Man",2200,1500,Sun,Saturn,Warrior,,6,Earth,1000,30113682,"For this\nclub-wielding\nwarrior,\nthere is no other\noutcome to battle\nthan victory or\ndefeat."
34,"Saggi the Dark Clown",600,1500,Mercury,Moon,Spellcaster,,3,Dark,60,66602787,"This clown appears\nout of nowhere and\nexecutes some very\nstrange moves to\navoid enemy attacks."
35,"Dark Magician",2500,2100,Mercury,Mars,Spellcaster,,7,Dark,999999,46986414,"The ultimate wizard\nin terms of attack\nand defense."
36,"The Snake Hair",1500,1200,Moon,Saturn,Zombie,,4,Dark,140,29491031,"A monster with the\nhead of a poisonous\nsnake. One look will\nturn an unwary\nopponent to stone."
37,"Gaia the Dragon Champion",2600,2100,Saturn,Mercury,Dragon,,7,Wind,999999,66889139,"A warrior's prowess\ncombines with a\ndragon's speed to\ncreate a powerful\noffensive force."
38,"Gaia the Fierce Knight",2300,2100,Mercury,Jupiter,Warrior,,7,Earth,999999,6368038,"A knight mounted on\na horse that travels\nfaster than the wind.\nHis battle charge is\na force to be\nreckoned with."
39,"Curse of Dragon",2000,1500,Saturn,Pluto,Dragon,,5,Dark,999999,28279543,"A wicked dragon that\ntaps dark forces to\nexecute a powerful\nattack."
40,"Dragon Piper",200,1800,Mars,Moon,Pyro,,3,Fire,55,55763552,"A jar carved with\nstrange patterns. It\nhas a particularly\nhigh defense factor."
41,"Celtic Guardian",1400,1200,Sun,Uranus,Warrior,,4,Earth,120,91152256,"An elf, who learned\nto wield a sword,\nbaffles enemies with\nlightning-swift\nattacks."
42,"Illusionist Faceless Mage",1200,2200,Venus,Mars,Spellcaster,,5,Dark,320,28546905,"Manipulates enemy\nattacks with the\npower of illusion.\nA very rare card."
43,"Karbonala Warrior",1500,1200,Uranus,Jupiter,Warrior,,4,Earth,140,54541900,"A very\naverage-looking\nfighter with an\nunusually high\nattack factor."
44,"Rogue Doll",1600,1000,Sun,Pluto,Spellcaster,,4,Light,120,91939608,"A unique doll gifted\nwith mystical power.\nParticularly\npowerful when\nattacking against\ndark forces."
45,"Oscillo Hero #2",1000,500,Pluto,Sun,Thunder,,3,Light,30,27324313,"Attacks its enemies\nwith thunder."
46,"Griffore",1200,1500,Jupiter,Mercury,Beast,,4,Earth,140,53829412,"This creature's tough\nhide deflects just\nabout any attack."
47,"Torike",1200,600,Uranus,Sun,Beast,,3,Earth,45,80813021,"Not as tough as it\nlooks in terms of\ndefense.\nThis monster's sharp\nhorn gives it an\nedge when attacking."
48,"Sangan",1000,600,Moon,Uranus,Fiend,,3,Dark,35,26202165,"A compact,\nthree-eyed monster\nthat is dangerous\nwhen faced in the\ndark."
49,"Big Insect",1200,1500,Jupiter,Uranus,Insect,,4,Earth,140,53606874,"A giant ant that\ndwells in the jungle.\nPowerful in terms of\nboth ATK and DEF\nfactors."
50,"Basic Insect",500,700,Jupiter,Pluto,Insect,,2,Earth,25,89091579,"Usually found\ntravelling in swarms,\nthis creature's\nideal environment is\nthe forest."
51,"Armored Lizard",1500,1200,Neptune,Sun,Reptile,,4,Earth,999999,15480588,"A lizard with a very\ntough hide and a\nvery vicious bite."
52,"Hercules Beetle",1500,2000,Jupiter,Neptune,Insect,,5,Earth,999999,52584282,"A massive beetle with\na tough hide and a\ndangerous horn."
53,"Killer Needle",1200,1000,Jupiter,Sun,Insect,,4,Wind,70,88979991,"A huge bee with\nexceptional\nstrength.\nParticularly\ndangerous when a\nswarm is\nencountered."
54,"Gokibore",1200,1400,Jupiter,Moon,Insect,,4,Earth,999999,15367030,"A large, spherical\nroach that attacks\nits enemies by\nrolling over them.\nIts tough defense\nmakes it a formidable\nfoe."
55,"Giant Flea",1500,1200,Jupiter,Venus,Insect,,4,Earth,140,41762634,"A giant\nblood-sucking flea\nthat's devastating\nwhen attacking."
56,"Larvae Moth",500,400,Jupiter,Mercury,Insect,,2,Earth,999999,87756343,"Not much in its\nlarval form,\nthis creature is a\nforce to be reckoned\nwith when it grows\nto become a colossal\nmoth."
57,"Great Moth",2600,2500,Jupiter,Uranus,Insect,,8,Earth,999999,14141448,"A powerful creature\nof the forest,\nthis huge moth\nattacks its enemies\nby spreading poison\ndust with its wings."
58,"Kuriboh",300,200,Mercury,Saturn,Fiend,,1,Dark,10,40640057,"By itself, this small\ncreature may not\nseem like much.\nBut in the dark, it\nattacks in numbers\nas a formidable\nforce."
59,"Mammoth Graveyard",1200,800,Mercury,Pluto,Dinosaur,,3,Earth,55,40374923,"A mammoth that\nprotects the\ngravesite of its\npack.\nIt's absolutely\nmerciless when\nfacing graverobbers."
60,"Great White",1600,800,Neptune,Moon,Fish,,4,Water,999999,13429800,"A giant white shark\nwith razor-sharp\nteeth."
61,"Wolf",1200,800,Jupiter,Pluto,Beast,,3,Earth,55,49417509,"A rarely seen wolf\nwith a powerful nose\nfor catching the\nscent of an enemy."
62,"Harpie Lady",1300,1400,Saturn,Neptune,Winged Beast,,4,Wind,999999,76812113,"A human-shaped\nanimal with wings.\nBeautiful to watch,\nbut lethal when\nengaged in battle."
63,"Harpie Lady Sisters",1950,2100,Saturn,Mars,Winged Beast,,6,Wind,999999,12206212,"Three fierce sisters\nwho relentlessly\nattack as a team."
64,"Tiger Axe",1300,1100,Jupiter,Neptune,Beast-Warrior,,4,Earth,999999,49791927,"A fast and powerful\naxe-wielding beast\nwarrior."
65,"Silver Fang",1200,800,Jupiter,Sun,Beast,,3,Earth,55,90357090,"A snow wolf that's\nbeautiful to the eye\nbut absolutely\nvicious in battle."
66,"Kojikocy",1500,1200,Uranus,Moon,Warrior,,4,Earth,140,1184620,"A man-hunter with\npowerful arms that\ncan crush boulders."
67,"Perfectly Ultimate Great Moth",3500,3000,Jupiter,Moon,Insect,,8,Earth,999999,48579379,"The final incarnation\nof the ultimate\ninsect,\nthe Great Moth{15}"
68,"Garoozis",1800,1500,Mars,Venus,Beast-Warrior,,5,Fire,290,14977074,"An axe-swinging\nbeast warrior with\nthe head of a dragon."
69,"Thousand Dragon",2400,2000,Mars,Mercury,Dragon,,7,Wind,999999,41462083,"A dragon that has\ngrown and developed\nover a thousand\nyears."
70,"Fiend Kraken",1200,1400,Neptune,Venus,Aqua,,4,Water,120,77456781,"A massive squid that\nsuddenly appears\nfrom the depths of\nthe sea to attack\nunwary enemies."
71,"Jellyfish",1200,1500,Neptune,Mercury,Aqua,,4,Water,140,14851496,"An almost invisible,\nsemi-transparent\njellyfish that drifts\nin the sea."
72,"Cocoon of Evolution",0,2000,Jupiter,Venus,Insect,,3,Earth,999999,40240595,"This creature is\ncapable of instantly\nevolving larvae into\nadults."
73,"Kairyu-shin",1800,1500,Neptune,Mars,Sea Serpent,,5,Water,290,76634149,"A sea dragon that's\nreferred to as the\n{70}King of the Ocean{70}.\nIt attacks its\nenemies with huge\ntidal waves."
74,"Giant Soldier of Stone",1300,2000,Uranus,Venus,Rock,,3,Earth,290,13039848,"A giant warrior made\nof stone.\nA punch from this\ncreature has\nearth-shaking\nresults."
75,"Man-eating Plant",800,600,Mercury,Jupiter,Plant,,2,Earth,30,49127943,"A meat-eating plant\nthat is attractive\nto the eye but\ndangerous when\napproached."
76,"Krokodilus",1100,1200,Neptune,Jupiter,Reptile,,4,Water,80,76512652,"A vicious crocodile\nwith intelligence.\nHard scales form\na natural armor for\nthis creature."
77,"Grappler",1300,1200,Neptune,Saturn,Reptile,,4,Water,100,2906250,"A devious snake with\na thick body that\nwraps around an\nenemy monster and\nsqueezes the life\nout of it."
78,"Axe Raider",1700,1150,Uranus,Mercury,Warrior,,4,Earth,160,48305365,"An axe-wielding\nmonster of\ntremendous strength\nand agility."
79,"Megazowler",1800,2000,Uranus,Neptune,Dinosaur,,6,Earth,500,75390004,"Nothing stands in\nthe way of this\nspike-covered\ndinosaur."
80,"Uraby",1500,800,Uranus,Mars,Dinosaur,,4,Earth,80,1784619,"Fast on its feet,\nthis dinosaur rips\nenemies to shreds\nwith its sharp claws."
81,"Crawling Dragon #2",1600,1200,Moon,Pluto,Dinosaur,,4,Earth,160,38289717,"A powerful dragon\nwith teeth that can\ngrind almost\nanything to dust."
82,"Red-eyes B. Dragon",2400,2000,Moon,Neptune,Dragon,,7,Dark,999999,74677422,"A very rare card\nwith a high-level\nATK factor."
83,"Castle of Dark Illusions",920,1930,Mercury,Uranus,Fiend,,4,Dark,160,62121,"A creature that can\ngenerate darkness to\nenvelop all that\nexists around it."
84,"Reaper of the Cards",1380,1930,Moon,Pluto,Fiend,,5,Dark,290,33066139,"This monster boasts\na strong defense and\na massive scythe\nthat cuts through\nalmost anything."
85,"King of Yamimakai",2000,1530,Moon,Pluto,Fiend,,5,Dark,350,69455834,"Wields the power of\ndarkness to destroy\nits enemies."
86,"Barox",1380,1530,Jupiter,Mercury,Fiend,,5,Dark,180,6840573,"This creature flies\nthrough the dark,\nattacking its\nenemies with its\nlong, hairy arms."
87,"Dark Chimera",1610,1460,Mercury,Neptune,Fiend,,5,Dark,200,32344688,"A fire-breathing\nmonster that dwells\nin the netherworld."
88,"Metal Guardian",1150,2150,Moon,Mercury,Fiend,,5,Dark,290,68339286,"A fiend guarding\nthe treasures of the\nnetherworld.\nIts defense is\nparticularly high in\na dark environment."
89,"Catapult Turtle",1000,2000,Neptune,Sun,Aqua,,5,Water,200,95727991,"Well-protected by\nits shell,\nthis monster flings\nprojectiles from\nits catapult."
90,"Gyakutenno Megami",1800,2000,Sun,Neptune,Fairy,,6,Light,500,31122090,"Uses her mystical\npower to protect\nthe weak and provide\nspiritual support."
91,"Mystic Horseman",1300,1550,Jupiter,Uranus,Beast,,4,Earth,999999,68516705,"Half man and half\nhorse, this monster\nis known for its\nextreme speed."
92,"Rabid Horseman",2000,1700,Jupiter,Pluto,Beast-Warrior,,6,Earth,999999,94905343,"A powerful\nand unstoppable\ncombination of\nbull and horse."
93,"Zanki",1500,1700,Uranus,Jupiter,Warrior,,5,Earth,260,30090452,"Prefers to face\nenemies one-on-one.\nHis swiftly drawn\nblade delivers a\nquick and immediate\nfinish."
94,"Crawling Dragon",1600,1400,Uranus,Sun,Dragon,,5,Earth,200,67494157,"A weakened dragon\nthat can no longer\nfly, but is still a\nformidable force to\nbe reckoned with."
95,"Crass Clown",1350,1400,Venus,Jupiter,Fiend,,4,Dark,140,93889755,"A performer\nin the Dark Circus,\nthis clown drains\nthe strength of\nits enemies with\nstrange dances."
96,"Armored Zombie",1500,0,Moon,Pluto,Zombie,,3,Dark,260,20277860,"A warrior raised from\nthe beyond.\nBlindly swings a\nsharp blade with\ndevastating force."
97,"Dragon Zombie",1600,0,Moon,Pluto,Zombie,,3,Dark,200,66672569,"A dragon revived by\nsorcery. Its breath\nis highly corrosive."
98,"Clown Zombie",1350,0,Moon,Pluto,Zombie,,2,Dark,140,92667214,"A clown revived by\nthe powers of\ndarkness.\nIts strange dance\nhas sent many\nmonsters to their\nends."
99,"Pumpking the King of Ghosts",1800,2000,Jupiter,Neptune,Zombie,,6,Dark,500,29155212,"This pumpkin king\nstrikes at its\nenemies with its\nlong tentacles."
100,"Battle Warrior",700,1000,Uranus,Moon,Warrior,,3,Earth,40,55550921,"A warrior that fights\nwith his bare hands."
101,"Wings of Wicked Flame",700,600,Mars,Saturn,Pyro,,2,Fire,30,92944626,"Soaring over its\nenemies on wings of\ncrimson fire,\nthis monster attacks\nby blasting flames\nfrom its body."
102,"Mask of Darkness",900,400,Mercury,Moon,Fiend,,2,Dark,30,28933734,"A shadow mask\ncreated by the hands\nof a dark mage."
103,"Job-change Mirror",800,1300,Mercury,Mars,Fiend,,3,Dark,999999,55337339,"An indestructible,\nwicked mirror that\nblocks enemy attacks."
104,"Curtain of the Dark Ones",600,500,Mercury,Jupiter,Spellcaster,,2,Dark,25,22026707,"A curtain woven by\nthe hands of a\nsorcerer. It is said\nto enhance the power\nof magic-users."
105,"Tomozaurus",500,400,Uranus,Venus,Dinosaur,,2,Earth,20,46457856,"A deceivingly small\ncreature that is so\nvicious it attacks\nboth friend and foe\nwithout discretion."
106,"Spirit of the Winds",1700,1400,Saturn,Sun,Spellcaster,,5,Wind,230,54615781,"A spirit of the wind\nthat freely sails\nthe skies. Known to\ngenerate storms when\nit's in a bad mood."
107,"Kageningen",800,600,Moon,Mars,Warrior,,2,Dark,30,80600490,"Uses both its\nphysical and shadow\nforms to attack,\nmaking it a difficult\ncreature to\novercome."
108,"Graveyard and the Hand of Invitation",700,900,Moon,Pluto,Zombie,,3,Dark,35,27094595,"A final resting\nplace that enhances\nthe power of the\ndoomed and drains\nthat of the living."
109,"Goddess with the Third Eye",1200,1000,Sun,Venus,Fairy,,4,Light,70,53493204,"A goddess with an\nall-seeing eye that\nreveals all."
110,"Hero of the East",1100,1000,Uranus,Mercury,Warrior,,3,Earth,60,89987208,"A samurai from the\nFar East armed with\na razor-sharp sword."
111,"Doma The Angel of Silence",1600,1400,Mercury,Saturn,Fairy,,5,Dark,200,16972957,"This angel rules over\nthe doomed and\nadministers it when\nnecessary."
112,"That Which Feeds on Life",1200,1000,Mercury,Uranus,Fiend,,4,Dark,70,52367652,"A vile monster that\nfuels its power by\ndraining the essence\nof life from its\nopponents."
113,"Dark Gray",800,900,Jupiter,Moon,Beast,,3,Earth,40,9159938,"Entirely gray,\nthis beast has\nrarely been seen by\nmortal eyes."
114,"White Magical Hat",1000,700,Sun,Mars,Spellcaster,,3,Light,40,15150365,"A gentleman thief\nthat eludes the law\ndespite the fact that\nhe sticks out like a\nsore thumb with his\nsilk hat and white\ncape."
115,"Kamion Wizard",1300,1100,Mercury,Pluto,Spellcaster,,4,Dark,120,41544074,"A magic-user that\ncontrols chaos\nand wields a mighty\nsickle."
116,"Nightmare Scorpion",900,800,Uranus,Neptune,Insect,,3,Earth,40,88643173,"A very toxic\ncreature that\ninduces nightmares\nand attacks its\nvictims with four\npoison-tipped\nstingers."
117,"Spirit of the Books",1400,1200,Saturn,Moon,Winged Beast,,4,Wind,120,14037717,"A spirit of the books\nwith infinite\nknowledge and an\nendless variety of\nattack strategies."
118,"Supporter in the Shadows",1000,1000,Jupiter,Venus,Warrior,,3,Earth,55,41422426,"A cute elf that\nassists against\nenemies while\nremaining hidden\nfrom sight."
119,"Trial of Nightmares",1300,900,Moon,Pluto,Fiend,,4,Dark,70,77827521,"Passes judgment on\nenemies that are\nlocked in coffins."
120,"Dream Clown",1200,900,Venus,Saturn,Warrior,,3,Earth,60,13215230,"The mysterious dance\nof this creature\ndraws its enemies\ninto eternal slumber."
121,"Sleeping Lion",700,1700,Jupiter,Sun,Beast,,4,Earth,120,40200834,"Frequently\nfound sleeping,\nthis monster is very\ndangerous when\nawakened."
122,"Yamatano Dragon Scroll",900,300,Saturn,Venus,Dragon,,2,Wind,25,76704943,"This dragon is\nconjured from\na picture scroll\nto attack enemies.\nIt has a pretty\nlow defense factor."
123,"Dark Plant",300,400,Moon,Jupiter,Plant,,1,Dark,15,13193642,"A vicious flower\nraised from polluted\nsoil and fertilized\nby dark forces."
124,"Ancient Tool",1700,1400,Moon,Saturn,Machine,,5,Dark,230,49587396,"An engine\nof destruction\ndiscovered in the\nruins of an ancient\ncivilization."
125,"Faith Bird",1500,1100,Sun,Jupiter,Winged Beast,,4,Wind,120,75582395,"A bird with a very\nlong tail that\nattacks with a light\nthat emanates from\nits entire being."
126,"Orion the Battle King",1800,1500,Sun,Saturn,Fairy,,5,Light,290,2971090,"A mysterious\ncreature known as\nthe king of warriors,\nbut nobody has lived\nlong enough to tell\nhow it earned its\nreputation."
127,"Ansatsu",1700,1200,Mercury,Neptune,Warrior,,5,Earth,180,48365709,"A silent and swift\nwarrior specializing\nin sneak attack."
128,"LaMoon",1200,1700,Sun,Uranus,Spellcaster,,5,Light,180,75850803,"A sorcerer who lives\non the moon and\nattacks opponents\nwith the power\nof lunar light."
129,"Nemuriko",800,700,Mercury,Moon,Spellcaster,,3,Dark,30,90963488,"A child-like creature\nthat controls a\nsleep spirit to\nbeckon enemies into\neternal slumber."
130,"Weather Control",600,400,Sun,Pluto,Fairy,,2,Light,20,37243151,"This monster is\ncapable of\nmanipulating the\nweather. This power\nis the reason behind\nthe changing climate\nof mountains."
131,"Octoberser",1600,1400,Neptune,Moon,Aqua,,5,Water,200,74637266,"A strange creature\nwith the head of a\nfish and the\ntentacles of an\noctopus that attacks\nits enemies with\nspears."
132,"The 13th Grave",1200,900,Moon,Pluto,Zombie,,3,Dark,60,32864,"A zombie that\nsuddenly appeared\nfrom plot\n#13 - supposedly\nan empty grave."
133,"Charubin the Fire Knight",1100,800,Mars,Uranus,Pyro,,3,Fire,50,37421579,"A warrior protected\nby a shell that can\neven deflect the heat\nof burning flames."
134,"Mystical Capture Chain",700,700,Sun,Neptune,Fairy,,2,Light,30,63515678,"A mystical chain that\nis believed capable\nof binding its\nenemies and\npreventing their\nattacks."
135,"Fiend's Hand",600,600,Moon,Pluto,Zombie,,2,Dark,25,52800428,"Long arms reach out\nfrom the Swamp\nof Chaos to drag\nin enemy creatures."
136,"Witty Phantom",1400,1300,Mercury,Mars,Fiend,,4,Dark,140,36304921,"Dressed in a\nnight-black tuxedo,\nthis creature\npresides over the\ndoomed."
137,"Mystery Hand",500,500,Moon,Uranus,Fiend,,2,Dark,20,62793020,"Twisting the fabric\nof reality, arms\nstretch out from\nanother dimension\nto attack opponents."
138,"Dragon Statue",1100,900,Uranus,Mars,Warrior,,3,Earth,55,9197735,"A granite warrior\nwith a dragon's soul\nwields a powerful\nsword against\nall enemies."
139,"Blue-eyed Silver Zombie",900,700,Sun,Pluto,Zombie,,3,Dark,35,35282433,"A creature rumored\nto turn enemies\ninto zombies with\na strange ray that\nemanates from its\neyes."
140,"Toad Master",1000,1000,Neptune,Venus,Aqua,,3,Water,55,62671448,"Thousands of years\nold, this frog wizard\nattacks enemies with\nan army of tadpoles."
141,"Spiked Snail",700,1300,Moon,Jupiter,Insect,,3,Dark,55,98075147,"Evolving from the\npowers of darkness,\nthis snail has arms\nand legs that allow\nswift attacks\nagainst its enemies."
142,"Flame Manipulator",900,1000,Mars,Pluto,Spellcaster,,3,Fire,50,34460851,"Attacks enemies with\nfire-related spells,\nsuch as the\n{70}Sea of Flames{70}\nand the\n{70}Wall of Fire{70}."
143,"Necrolancer the Timelord",800,900,Venus,Uranus,Spellcaster,,3,Dark,40,61454890,"The first in a line\nof golems that\nappears almost\nanywhere from within\na dimensional ring."
144,"Djinn the Watcher of the Wind",700,900,Saturn,Mercury,Spellcaster,,3,Wind,35,97843505,"Controls the air\ncurrents to create\nviolent winds and\ntornadoes to blow\naway its enemies."
145,"The Bewitching Phantom Thief",700,700,Venus,Pluto,Spellcaster,,2,Dark,30,24348204,"A flashy, black-caped\nthief who wields a\nmagic cane."
146,"Temple of Skulls",900,1300,Mercury,Pluto,Zombie,,4,Dark,70,732302,"A weird temple\nof skulls and bones\nthat sucks the living\nessence of all those\nwho dare approach it."
147,"Monster Egg",600,900,Uranus,Jupiter,Warrior,,3,Earth,999999,36121917,"A warrior hidden\nwithin an egg that\nattacks enemies by\nflinging eggshells."
148,"The Shadow Who Controls the Dark",800,700,Mercury,Jupiter,Fiend,,3,Dark,30,63125616,"A living shadow that\ndwells in the realm\nof darkness.\nIt paralyzes its\nenemies to prevent\nattacks."
149,"Lord of the Lamp",1400,1200,Mercury,Saturn,Fiend,,4,Dark,120,99510761,"A giant that appears\nfrom a mystic lamp\nand follows the\norders of the lamp's\nowner."
150,"Akihiron",1700,1400,Neptune,Jupiter,Aqua,,5,Water,230,36904469,"A mysterious\ncreature that dwells\nbelow the sea."
151,"Rhaimundos of the Red Sword",1200,1300,Neptune,Mars,Warrior,,4,Earth,100,62403074,"A warrior armed with\nthe Sword of Crimson\nFlames.\nUses fire to bind the\nmovement of its\nenemies."
152,"The Melting Red Shadow",500,700,Moon,Neptune,Aqua,,2,Water,25,98898173,"A creature that\nmelts into the earth,\nmelds with an\nopponent's shadow,\nand attacks from\nbelow."
153,"Dokuroizo the Grim Reaper",900,1200,Moon,Pluto,Zombie,,3,Dark,60,25882881,"A living spirit that\npreys on the living\nessence of enemies."
154,"Fire Reaper",700,500,Mars,Sun,Zombie,,2,Dark,25,53581214,"A creature that\ndeals out punishment\nwith its flaming\narrows."
155,"Larvas",800,1000,Jupiter,Mercury,Beast,,3,Earth,45,94675535,"A fast-moving,\nbird-like creature\nthat strangles an\nopposing monster\nwith its long,\nthin arms."
156,"Hard Armor",300,1200,Uranus,Sun,Warrior,,3,Earth,30,20060230,"A living suit of\narmor that attacks\nenemies with a\nbone-jarring tackle."
157,"Firegrass",700,600,Mars,Moon,Plant,,2,Earth,30,53293545,"A fire-breathing\nplant found growing\nnear volcanoes."
158,"Man Eater",800,600,Jupiter,Uranus,Plant,,2,Earth,30,93553943,"Man-eating plant with\npoison feelers for\nattacking enemies."
159,"Dig Beak",500,800,Jupiter,Pluto,Beast,,2,Earth,30,29948642,"Coiling its\nserpent-like body,\nthis creature spins\nand attacks with\nits snapping beak."
160,"M-warrior #1",1000,500,Uranus,Moon,Warrior,,3,Earth,30,56342351,"Specializing in\ncombination attacks,\nthis warrior uses\nmagnetism to block\nan enemy's escape."
161,"M-warrior #2",500,1000,Uranus,Venus,Warrior,,3,Earth,30,92731455,"Specializing in\ncombination attacks,\nthis warrior is\nequipped with a\ntough, magnetically\ncoated armor."
162,"Tainted Wisdom",1250,800,Moon,Mercury,Fiend,,3,Dark,55,28725004,"A parasite brain\nthat preys\non the knowledge\nand intelligence\nof its opponents."
163,"Lisark",1300,1300,Saturn,Pluto,Beast,,4,Earth,120,55210709,"An unusual creature\nwith sapphire eyes\nthat creates visions\nto confuse the enemy."
